frame,track_id,x_center,y_center,width,height
233,0.00457146,0.427953,0.00914292,0.100455,20.0
179,0.00477544,0.230757,0.00955088,0.0748793,27.0
129,0.00683138,0.422739,0.0136628,0.125175,9.0
232,0.00713533,0.430786,0.0142707,0.106602,20.0
178,0.00718459,0.232673,0.0143692,0.0747297,27.0
331,0.00777314,0.451347,0.0155463,0.139873,48.0
130,0.0079486,0.205404,0.0158972,0.0823284,12.0
106,0.00802061,0.302149,0.0160412,0.0958106,8.0
128,0.00929601,0.423045,0.018592,0.122212,9.0
106,0.00992284,0.599682,0.0198457,0.135193,10.0
177,0.0103757,0.235146,0.0163938,0.0757654,27.0
213,0.0103816,0.586814,0.0207631,0.13459,2.0
110,0.010612,0.323724,0.021224,0.115491,3.0
231,0.0106121,0.437246,0.0212242,0.10978,20.0
220,0.010704,0.420683,0.021408,0.103371,23.0
193,0.0108466,0.38243,0.0216931,0.10832,11.0
118,0.0109476,0.714015,0.0218952,0.148407,15.0
78,0.0112631,0.47123,0.0225262,0.119881,6.0
230,0.0117051,0.44511,0.0234103,0.122322,20.0
127,0.0123662,0.423036,0.0247324,0.12338,9.0
330,0.0130242,0.452202,0.0260483,0.136755,48.0
129,0.0130815,0.205225,0.023671,0.0798481,12.0
117,0.01343,0.728757,0.02686,0.16621,15.0
105,0.0135909,0.59714,0.0271818,0.136694,10.0
229,0.0137313,0.441885,0.0274625,0.120231,20.0
105,0.0139866,0.303085,0.025935,0.0921311,8.0
77,0.0141292,0.470211,0.0282583,0.121145,6.0
192,0.0142064,0.381561,0.0247996,0.104533,11.0
176,0.0143281,0.23409,0.02118,0.082022,27.0
212,0.0148955,0.337927,0.0250006,0.0940296,19.0
212,0.0150253,0.585867,0.0300505,0.137599,2.0
116,0.0152663,0.730385,0.0305326,0.164026,15.0
219,0.015514,0.424928,0.0310281,0.113713,23.0
209,0.0165979,0.382766,0.0267551,0.0732931,5.0
228,0.0172744,0.434812,0.0345487,0.112609,20.0
104,0.0181139,0.595904,0.0362278,0.137451,10.0
175,0.0183022,0.232806,0.0252324,0.0865259,27.0
126,0.0183621,0.422105,0.0301229,0.125558,9.0
359,0.0188072,0.376107,0.0376143,0.119617,46.0
115,0.0190482,0.729713,0.0348098,0.16157,15.0
128,0.0190584,0.205054,0.0265727,0.0806035,12.0
280,0.0195355,0.496066,0.0276537,0.136311,43.0
109,0.0195632,0.322003,0.0245629,0.115845,3.0
211,0.0196441,0.585744,0.0392882,0.139079,2.0
358,0.0197286,0.368107,0.0394571,0.116563,46.0
286,0.0198844,0.609742,0.0390448,0.150288,44.0
191,0.0199317,0.382217,0.0243737,0.103161,11.0
360,0.0203293,0.374494,0.0406587,0.1204,46.0
76,0.0203556,0.468694,0.0327971,0.121098,6.0
361,0.0215112,0.366706,0.0430225,0.122473,46.0
329,0.0215716,0.45218,0.0304698,0.137215,48.0
227,0.0216976,0.440289,0.0433953,0.12449,20.0
218,0.0219482,0.423821,0.0343807,0.112846,23.0
103,0.0222802,0.595664,0.0445605,0.13816,10.0
174,0.0222953,0.231111,0.0289781,0.0797837,27.0
210,0.0223826,0.587571,0.0447653,0.139649,2.0
226,0.022427,0.442433,0.0448091,0.125721,20.0
357,0.0230449,0.360392,0.0460898,0.12044,46.0
354,0.0238383,0.363217,0.0464308,0.133033,46.0
355,0.0239353,0.364949,0.0478707,0.128945,46.0
352,0.0241616,0.356368,0.0356211,0.131192,46.0
362,0.0243051,0.367838,0.0486101,0.121141,46.0
104,0.0243244,0.303355,0.0250193,0.0939213,8.0
356,0.0243577,0.361053,0.0487154,0.124708,46.0
307,0.0251237,0.539518,0.0375532,0.14739,45.0
217,0.0256485,0.423458,0.0443527,0.112257,23.0
190,0.0259011,0.386821,0.0267361,0.117502,11.0
211,0.0260512,0.337862,0.0236462,0.0911927,19.0
363,0.0261916,0.374018,0.050476,0.121053,46.0
287,0.0263337,0.608944,0.0442715,0.151375,44.0
114,0.0264028,0.728252,0.040339,0.166413,15.0
127,0.0264977,0.206114,0.0281978,0.0810736,12.0
125,0.026675,0.422069,0.0359426,0.127286,9.0
281,0.0266789,0.49562,0.0315855,0.139524,43.0
173,0.0268782,0.232873,0.0288277,0.0864004,27.0
75,0.0271515,0.468229,0.0294558,0.120417,6.0
351,0.027455,0.358197,0.0415259,0.135139,46.0
225,0.0274885,0.445807,0.041426,0.123296,20.0
208,0.0275456,0.38176,0.026133,0.0688839,5.0
102,0.0277426,0.598327,0.048502,0.138089,10.0
353,0.0277499,0.356492,0.049446,0.130322,46.0
364,0.0285998,0.376749,0.0555116,0.122039,46.0
189,0.0297527,0.385161,0.0323276,0.116304,11.0
209,0.0299368,0.591876,0.0466525,0.142115,2.0
308,0.0303271,0.540736,0.0360182,0.145429,45.0
108,0.0304096,0.32257,0.0258008,0.116214,3.0
113,0.0310515,0.728039,0.0511766,0.168389,15.0
328,0.0310905,0.451874,0.0324383,0.138773,48.0
282,0.0316018,0.493108,0.0354902,0.141083,43.0
172,0.0324252,0.231027,0.025997,0.0816194,27.0
365,0.0329941,0.374313,0.0592516,0.120879,46.0
288,0.0330937,0.610673,0.0451709,0.150173,44.0
216,0.0333508,0.424321,0.0512212,0.113454,23.0
126,0.034115,0.206352,0.0292272,0.083491,12.0
74,0.0342118,0.46584,0.0277123,0.123079,6.0
188,0.0348407,0.386021,0.0393363,0.121537,11.0
224,0.035087,0.444564,0.0371552,0.126148,20.0
366,0.0352538,0.374161,0.0603059,0.122379,46.0
103,0.0354196,0.302564,0.0217369,0.0930651,8.0
283,0.0363674,0.490083,0.0372934,0.137212,43.0
101,0.0364262,0.600825,0.0477008,0.138479,10.0
350,0.0366884,0.358097,0.062845,0.134161,46.0
367,0.0374345,0.371217,0.0633544,0.122874,46.0
112,0.0374971,0.727807,0.047643,0.171013,15.0
289,0.0375987,0.613319,0.0390243,0.150565,44.0
309,0.0377239,0.543536,0.0344541,0.14109,45.0
124,0.0378074,0.423953,0.0353678,0.126715,9.0
171,0.0381852,0.230878,0.0256201,0.0796539,27.0
207,0.0383072,0.387942,0.0279524,0.0795006,5.0
327,0.0383289,0.453035,0.0312185,0.13768,48.0
349,0.0384189,0.355751,0.0615655,0.130102,46.0
210,0.0389973,0.338372,0.0232809,0.0901008,19.0
368,0.0394315,0.373255,0.0647832,0.126749,46.0
187,0.039975,0.38398,0.0416237,0.117617,11.0
284,0.0419197,0.488347,0.0435651,0.130441,43.0
107,0.0421435,0.321525,0.0264982,0.115488,3.0
208,0.0423373,0.592916,0.0420233,0.137588,2.0
73,0.0426394,0.463829,0.0257737,0.124401,6.0
111,0.0428681,0.728638,0.0435513,0.170044,15.0
170,0.043204,0.231278,0.0237681,0.0814004,27.0
223,0.0433645,0.446366,0.0320987,0.121567,20.0
348,0.0436923,0.354972,0.0590394,0.131946,46.0
125,0.0437488,0.206881,0.0259092,0.0821464,12.0
369,0.0440312,0.376787,0.0657375,0.12719,46.0
215,0.0440638,0.425668,0.0492287,0.117664,23.0
310,0.0440767,0.543348,0.0428561,0.147999,45.0
100,0.0443266,0.602631,0.0450845,0.136392,10.0
186,0.0457344,0.384834,0.0388414,0.121241,11.0
290,0.0461045,0.616191,0.0347884,0.153859,44.0
169,0.0463323,0.231824,0.0254415,0.0814443,27.0
370,0.0465831,0.375844,0.0652174,0.127253,46.0
102,0.0469396,0.303076,0.0199457,0.0954233,8.0
326,0.0475109,0.45299,0.032081,0.137806,48.0
347,0.0482729,0.353565,0.0553293,0.135087,46.0
285,0.049969,0.487956,0.0470786,0.133489,43.0
222,0.0500019,0.446308,0.032001,0.121369,20.0
206,0.0500827,0.391157,0.0267709,0.0933355,5.0
72,0.0504973,0.461725,0.0219745,0.120832,6.0
110,0.0507401,0.727491,0.0372941,0.166536,15.0
168,0.0512009,0.231033,0.0274613,0.0835732,27.0
123,0.0512448,0.424169,0.0366526,0.124473,9.0
185,0.051289,0.387761,0.0345627,0.124975,11.0
346,0.0514725,0.347933,0.041037,0.140277,46.0
209,0.0516933,0.33884,0.0244108,0.091016,19.0
313,0.0517825,0.466646,0.026092,0.136255,48.0
99,0.052014,0.601232,0.0437415,0.133119,10.0
106,0.0537604,0.320866,0.0266013,0.115192,3.0
221,0.0546473,0.445939,0.0396818,0.118726,20.0
291,0.0548063,0.617425,0.0323405,0.155456,44.0
167,0.0548669,0.232372,0.0316732,0.0842958,27.0
311,0.0549275,0.545679,0.0388206,0.145874,45.0
124,0.054966,0.207574,0.0222817,0.083371,12.0
371,0.0550953,0.372802,0.0504818,0.124247,46.0
314,0.0558631,0.466952,0.0253526,0.140017,48.0
325,0.055917,0.453369,0.0333669,0.138392,48.0
207,0.0561378,0.590281,0.0355676,0.138859,2.0
184,0.0564171,0.390255,0.0314796,0.123259,11.0
98,0.0568463,0.602558,0.0422401,0.131449,10.0
214,0.0580169,0.423659,0.0454834,0.112647,23.0
71,0.0580173,0.460695,0.0211946,0.121524,6.0
286,0.0580785,0.494565,0.0486448,0.133771,43.0
101,0.0582388,0.303478,0.0174437,0.0961981,8.0
109,0.0594765,0.727185,0.0339773,0.163186,15.0
166,0.0597589,0.232032,0.0299394,0.0854993,27.0
315,0.0604057,0.46594,0.0254277,0.138865,48.0
345,0.0604426,0.349482,0.0453091,0.140445,46.0
183,0.0611958,0.391228,0.0269515,0.121271,11.0
292,0.0612647,0.61715,0.0344188,0.158694,44.0
97,0.0612868,0.60261,0.0429863,0.132946,10.0
324,0.0613055,0.453821,0.0302486,0.142215,48.0
205,0.0614949,0.394026,0.0249907,0.101063,5.0
220,0.0615858,0.443654,0.0463811,0.119,20.0
182,0.0628444,0.391354,0.0278145,0.122972,11.0
122,0.0640185,0.423449,0.0359728,0.123188,9.0
344,0.0642865,0.348997,0.0428452,0.139858,46.0
312,0.0643823,0.546004,0.0436885,0.149051,45.0
181,0.0645642,0.390514,0.0291436,0.123083,11.0
208,0.0646542,0.339275,0.024592,0.0932124,19.0
105,0.0650561,0.321438,0.026659,0.114299,3.0
70,0.0655283,0.460145,0.0195347,0.121026,6.0
287,0.0657261,0.498125,0.0396152,0.135776,43.0
165,0.0658019,0.231864,0.0263168,0.0857064,27.0
316,0.0658455,0.465366,0.0293552,0.137384,48.0
123,0.066508,0.207325,0.0193995,0.0838444,12.0
323,0.0667687,0.45495,0.0290118,0.142285,48.0
